Geneid,WT1-BL_S30_L001,WT1-BL_S30_L002,WT2-BL_S31_L001,WT2-BL_S31_L002,WT3-BL_S32_L001,WT3-BL_S32_L002,atpA1-BL_S33_L001,atpA1-BL_S33_L002,atpA2-BL_S34_L001,atpA2-BL_S34_L002,atpA3-BL_S35_L001,atpA3-BL_S35_L002
b2020,6.956119997991693,6.975666144954665,6.961141910252191,6.91417521616319,6.595744887597667,6.580434865744629,8.827396737971823,8.7845011582582,9.00356779244271,9.002403059120299,9.088788397745756,9.097071936923523
b2021,6.775806294195474,6.806300210927202,6.783759326621543,6.736596851408154,6.497311860458379,6.477723042818615,8.630240703566711,8.645583812260291,8.924900603992745,8.93336086656237,9.00350110849231,8.965261616590896
b2022,6.791742236830301,6.7644444437603335,6.8142803944661585,6.828777699581759,6.5013139605963035,6.518625472356162,8.459276740563507,8.460539683528399,8.758073281622568,8.789531386385235,8.726177209178289,8.738684121254082
b2023,6.154968949974998,6.248161863329673,6.333858799304619,6.266625194799379,5.970408842555934,5.974196417716935,7.935985392203415,7.926417280004789,8.10353957244378,8.114369981737472,7.732536229616444,7.7173881479391975
b2024,6.211255714544391,6.1578936174813785,6.335306050662713,6.368948844266703,6.071459363591809,6.065596922656118,7.4211483531753455,7.390432858957787,7.595540811460044,7.570700909999486,7.128916856369303,7.214732386045858
b2025,6.372994520509517,6.400649429515914,6.520658338740924,6.458915913028538,6.259547773874023,6.239591886131201,7.101072081364366,7.100873894617073,7.241493484925153,7.2258046427850395,6.963504417604743,7.023745577380052
b2026,6.95488385823909,6.9255628257979005,6.966872390222926,7.091653478147174,6.927094171774637,6.965863916322213,7.447785145343529,7.477224940016339,7.513515322948129,7.5475545186381146,7.431430124702391,7.346277173831275
b2027,8.097764185462456,8.077897340190347,8.052277550782174,8.014155919800451,8.172417905342344,8.15907097432311,7.8257224417902025,7.859952357856469,7.612514885075933,7.631230171811433,7.635497757410344,7.587880759346613
b2028,4.267510299783483,4.088925196695668,4.097390290809312,4.0528955720434805,4.578800093417238,4.635959081377178,3.8668778252899934,3.860402883594147,3.7934988875407325,3.539137617684368,3.3683511640791584,3.5847906286109783
b2029,10.148220285916919,10.165314942300752,10.07966956832499,10.081621540868149,9.901534362495456,9.885377531770219,10.351678767935063,10.358558115440239,10.50694237925589,10.504543188030771,10.459901893087126,10.470853195424844
b4571,5.809456651833097,5.836746861751923,5.651626411438977,5.655394619242946,5.804556632494494,5.862060927514932,5.824618482599655,5.774921465644785,5.674780131297941,5.74903503268413,5.654673749268411,5.684341454037437
b2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2032,6.782522623934062,6.852590291400366,6.759608216262068,6.7241420926957085,7.003655805674268,6.961699561671363,6.886320139418292,6.921761934248312,6.731513902893206,6.770566490013669,6.653507063319616,6.68948988406154
b2033,6.85628507408458,6.871694295299978,6.773304251341407,6.797177436603438,7.014995519888398,7.012505757287798,6.894763927953373,6.905998015479282,6.6742755905306135,6.748070230362978,6.6459102870250035,6.780728904716977
b2034,7.602268854156984,7.635888540121535,7.433328273465996,7.365423827092634,7.717423727041692,7.738506653400246,7.5839008742066945,7.53036322509033,7.303327119497831,7.3958758079130975,7.435524365733398,7.378948521970781
b2035,6.7331417324858345,6.728026115498041,6.556211214351903,6.520934521596682,6.783837053332714,6.794209481692915,6.909569949729164,6.8950838497276425,6.594677033180329,6.613718515147881,6.472800988564397,6.5461087920771135
b2036,7.851532841481085,7.893019810319278,7.669383644837545,7.727540731549926,7.8009923086159025,7.840805256921551,7.895899510593403,7.866276645045777,7.657466825932781,7.752319479297528,7.6584007167291865,7.718325070159254
b2037,7.152585027626915,7.15081677783683,7.042807731318429,7.054565289621884,7.303661134839784,7.344177522984319,6.7229510575443685,6.704114325438573,6.436574976449575,6.392547169107757,6.459267767656294,6.460698407247405
b2038,7.343163293738397,7.410620889300951,7.242348896059344,7.296217468248118,7.534016720607438,7.509957699376344,7.147684075415466,7.154049556057383,6.800242743777954,6.812750543414768,6.73316100416762,6.6790026425814295
b2039,7.536982378487792,7.502067209600604,7.443086489680287,7.452900525406484,7.80046427923254,7.86192787157664,7.419917295406387,7.473234003713163,7.174397707843279,7.164361344187707,7.180738271546412,7.164435360916702
b2040,7.594864897965392,7.61257055769399,7.386609521584353,7.434985332608996,8.164009377140284,8.185529075677175,7.742850287701534,7.784783837924049,7.436283270738432,7.456099533322873,7.42729299830547,7.43602648560533
b2041,8.06045998938703,8.02503246493914,7.823589275026342,7.82862203797345,8.485743956448651,8.485132971195844,7.9210588798571395,7.899083842842047,7.6285105127618955,7.591929914635362,7.5317927659849,7.566641724014754
b2042,8.85741864207601,8.848791367830186,8.854871115359401,8.818878990016772,8.686111771410609,8.658387811657562,8.656108096772343,8.650709533793771,8.543153337026116,8.550032708059037,8.413444933990924,8.44808212491828
b2043,2.690519672833696,2.919807964888675,2.802891207274329,2.728716184188181,2.2137103922428323,2.170907415628932,2.800432094142335,2.8287610887742516,3.1239785262229796,2.888099218641849,2.844240836142546,2.9819834035546817
